batch_size,dropout_frac,epochs,learning_rate,num_hidden_dense,num_neurons,loss,mean_squared_error,val_loss,val_mean_squared_error,uuid
16.0,0.1,100.0,0.001,2.0,3.0,0.5100891902711656,,0.5107081842422485,,64a3141a-375c-49ab-b9ec-3585432a0cd7
32.0,0.6365843811809903,121.0,0.0005398608910796848,33.0,49.0,4489.803769259983,,0.5308932900428772,,ac714897-f9b5-44d2-bd27-30555beb6611
64.0,0.5754361214861908,459.0,0.015614052860511908,3.0,4.0,0.43372215694851346,,0.40355835437774656,,872e057e-8163-4426-9fa1-8d5c2b76ae58
2.0,0.5141281913403779,441.0,0.035318065913576675,6.0,27.0,0.5079552236282163,,0.5040438158810139,,cfdb87d0-1885-483a-ac01-28cc967194d5
64.0,0.14444688993683802,487.0,0.019200603742557505,23.0,57.0,0.4992180331548055,,0.5123099744319916,,6a302430-729b-4bd8-ab73-24796d7c7035
8.0,0.5723049585585726,499.0,0.0001067462211249476,8.0,19.0,4.053349305523766,,0.5245037257671357,,066009de-7c96-4acb-9514-e037d21f6f39
16.0,0.7206080824094029,493.0,0.014378735517629478,40.0,1.0,0.49903066211276587,,0.5115182948112488,,27a4494b-30d3-4500-a293-8b372278e67f
64.0,0.34544528072975234,142.0,0.08506839438353317,4.0,12.0,0.19605550517638523,,0.1019543120265007,,482721bd-80c6-4352-b580-8bb3163f71d8
128.0,0.08201336842524323,22.0,0.05737326468669129,10.0,72.0,0.12474079469839731,,0.08047112822532654,,61c5a38e-1081-4b86-ba83-f2352c2c4632
64.0,0.2737550048271503,33.0,0.054245890800850384,8.0,82.0,0.26157835086186726,,0.08893202096223832,,f06b27e7-4af1-48c9-b62a-4edb5849de4d
128.0,0.2782941074142398,34.0,0.03308765599291876,18.0,55.0,0.49586182885699803,,0.48964378237724304,,45b53e20-abf3-4eab-9469-140708313ed6
64.0,0.06019100759308913,21.0,0.03874607746161236,1.0,73.0,0.19815828561782836,,0.18772569715976714,,f52b5880-8887-4d8f-9874-c9d38a3d77d1
64.0,0.3147311255279903,223.0,0.0805559247237153,4.0,92.0,0.16867056452565724,,0.057655906081199644,,71fd7983-65ee-47d1-b429-463348437f30
128.0,0.2789366940931192,174.0,0.07373667118079474,10.0,84.0,0.7362579600016276,,0.49421828985214233,,6735a4d3-a48c-4267-bd98-aff4ea6f5c17
4.0,0.6980053936788541,354.0,0.09303050838214089,5.0,97.0,0.5123848690258133,,0.5042148756980896,,7b11851d-4c6d-4e47-8788-11963b966e2c
8.0,0.0850746791158743,82.0,0.07201876012937972,42.0,29.0,0.5277410055531396,,0.5040399241447449,,60826b3d-12db-4d2b-b435-04532bfc0157
4.0,0.10038773435868177,446.0,0.02392992959967019,7.0,95.0,0.4989772720138232,,0.5041041848063469,,902679c4-04ad-45b4-a547-5855452f9905
8.0,0.6312034151792608,82.0,0.00020107743954737617,44.0,8.0,0.49695912652545504,,0.5230200982093811,,2df786a9-56cb-4039-8b49-01c7631916d4
32.0,0.07817242644531057,362.0,0.08051395431161491,2.0,31.0,0.044240482358468905,,0.009408215563744306,,d989a79a-f698-47b6-9142-91f14d653219
